Current Byte,Max Value,Result,Mean Absolute Error,SD for Byte,SD for Residual
912.0,1728.84,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1751.0,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1751.0,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1751.0,0,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1751.0,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1751.0,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1751.0,0,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1751.0,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1751.0,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1751.0,0,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1751.0,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1717.76,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1717.76,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1717.76,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1717.76,1,34174.83539999999,29420.392441381922,29309.6815949642
1076.0,1717.76,1,34174.83539999999,29420.392441381922,29309.6815949642
66.0,1733.36,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1789.36,1,34174.83539999999,29420.392441381922,29309.6815949642
83.0,1789.36,1,34174.83539999999,29420.392441381922,29309.6815949642
63.0,1844.68,1,34174.83539999999,29420.392441381922,29309.6815949642
92.0,1900.8,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1899.28,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1899.28,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1899.28,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1899.28,1,34174.83539999999,29420.392441381922,29309.6815949642
950.0,1899.28,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1919.92,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1919.92,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1919.92,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1919.92,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1919.92,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1919.92,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1919.92,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1919.92,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1919.92,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1919.92,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1919.92,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1877.64,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1877.64,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1877.64,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1877.64,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1869.6,1,34174.83539999999,29420.392441381922,29309.6815949642
999.0,1869.6,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1833.32,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1835.16,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1778.68,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1722.8,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1724.2,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1668.32,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1613.24,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1615.08,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1558.6,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1502.92,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1504.36,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1448.36,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1403.8,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1404.28,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1360.12,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1309.68,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1310.16,1,34174.83539999999,29420.392441381922,29309.6815949642
635.0,1253.68,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1230.92,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1231.4,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1174.92,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1125.4,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1125.88,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1076.36,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1020.36,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1025.76,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,969.28,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,926.0,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,979.2,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,975.92,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,919.44,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,919.92,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,916.64,1,34174.83539999999,29420.392441381922,29309.6815949642
